user,comment,sentiment,clean
jenny,These were absolutely fantastic. I swapped out a third of the tahini for peanut butter.  And served then fresh and hot out of the oven to guests with vanilla ice cream.  Yum. ,pos,absolutely fantastic swap tahini peanut butter serve fresh hot oven guest vanilla ice cream yum
Sherri,"I had never heard of halvah cookies or using tahini in cookies, so hats off to the brilliant person who came up with this. I threw caution to the wind and froze the mixture for about 30 minutes because I didn't want to wait til tomorrow to bake. Mine turned out paler than the photo, but still delicious. Tahini was subtle, yet added a depth. I tossed in extra chocolate for because I'm a chocolatier. That's what we do. I used a nice big scoop and it yielded ~14 large cookies for me.",pos,hear halvah cookie tahini cookie hat brilliant person come throw caution wind freeze mixture minute want wait til tomorrow bake turn pale photo delicious tahini subtle add depth toss extra chocolate chocolatier nice big scoop yield large cookie
Meg,"Has anyone tried baking these as bar cookies, in a jellyroll-type pan or a 13x9 pan? That's my go-to method for my usual chocolate chip cookies, since it's so quick and easy.",neu,try bake bar cookie jellyroll type pan x pan method usual chocolate chip cookie quick easy
Martina,Really good. Don’t overbake even if cookies look very pale. Helps to flatten them a bit. ,pos,good don t overbake cookie look pale help flatten bit
Sally Higgins,"Took Shaila M’s advice. Topped with pink sea salt, fat sanding sugar and sesame seeds...then made vanilla ice cream cookie sandwiches...YUM!",pos,take shaila m s advice top pink sea salt fat sanding sugar sesame seed vanilla ice cream cookie sandwich yum
Andrea,"Used brown butter and chilled for 2 hrs, Delicious but needs more tahini taste- the chocolate chips overpower the subtlety of the nuttiness. Might spice grind up some whole black sesames n add into the batter for next batch",pos,brown butter chill hrs delicious need tahini taste chocolate chip overpower subtlety nuttiness spice grind black sesame n add batter batch
Tom,"Following tweaks suggested by a reader:
+ Upped tahini to 3/4 cup (same browned butter)
+ Used 2 whole eggs
+ Used whole bag of Ghirardelli dark chocolate chips
+ Used small cookie scoop and got 3 dozen out of batch
+ Pressed dough scoops flat and sprinkled unbaked tops with mix of black sesame seeds and fleur de sel
+ Baked at 350 convection for 15 mins

Not quite chewy but crisp and rich - more of a halva flavor",pos,follow tweak suggest reader up tahini cup browned butter egg bag ghirardelli dark chocolate chip small cookie scoop get dozen batch press dough scoop flat sprinkle unbaked top mix black sesame seed fleur de sel bake convection min chewy crisp rich halva flavor
Lucy Anderson,SOSOSOSOSO GOOD!  I made them pretty much as is the recipe. No refrigeration. Cookies came out dense with a subtle flavor. Next tome I will reduce the amount of chocnchips.,pos,sososososo good pretty recipe refrigeration cookie come dense subtle flavor tome reduce chocnchip
Susan Margaret,"Forgot to add - in my half recipe, used only 1/3 cup of brown sugar, 1/2 cup all purpose flour and 1 tablespoon of mochiko. I think spelt or white whole wheat flour would also be good in these. Also, added 1 teaspoon of sesame oil.",neu,forget add half recipe cup brown sugar cup purpose flour tablespoon mochiko think spell white wheat flour good add teaspoon sesame oil
Susan Margaret,"Delicious. Added a few tablespoons of sesame seeds. Made half a recipe, using one whole egg. Baked them on a “muffin top” pan (a baking tray with 6 shallow indentations), mounding a couple of tablespoons of dough in each section. Baked about 15 minutes. Only made six to have with ice cream for dessert tonight, the rest of the dough went into the fridge to be baked off tomorrow. Really don’t think the dough needs to chill for 12 hours; did not do that tonight and they turned out great.",pos,delicious add tablespoon sesame seed half recipe egg bake muffin pan baking tray shallow indentation mound couple tablespoon dough section bake minute ice cream dessert tonight rest dough go fridge bake tomorrow don t think dough need chill hour tonight turn great
Meg,Used Bob's 1 to 1. Worked fine,neu,bob work fine
Roberta,"Even though I’m a dark chocolate lover, I used milk chocolate chips here. I think the softer flavor compliments the tahini. ",neu,m dark chocolate lover milk chocolate chip think soft flavor compliment tahini
Annie,Out of this world good. I used a smaller scoop and baked for 14ish minutes. They were absolutely divine. ,pos,world good small scoop bake ish minute absolutely divine
bobbie ,I’ve made these several times and they are a hit! I’ve also substituted half garbanzo and half almond flour for the regular flour for gluten free friends.,pos,ve time hit ve substitute half garbanzo half almond flour regular flour gluten free friend
Rebecca,I used my blue scoop and got 14.  I would like to make them smaller next time.,neu,blue scoop get like small time
Nora Reeh,YUH UH MEE !!     ,pos,yuh uh mee
Jane Niesen,"I tried these, following the recipe exactly. The texture was wonderful, however, I found them to be incredibly bland in taste. Anyone else?",neg,try follow recipe exactly texture wonderful find incredibly bland taste
lalaland,"These cookies are delightful! My 14 year old son who can't get excited about anything at this age, actually requested I make them again...soon!
I used dark chocolate chips, which really give the cookies a lovely addictive flavor.
As I couldn't wait to try, I did the first 1/2 about 4 hours after refrigeration, and the rest the next day. I didn't see a noticeable difference in the different lengths they were refrigerated.
YUM.",pos,cookie delightful year old son excited age actually request soon dark chocolate chip cookie lovely addictive flavor wait try hour refrigeration rest day noticeable difference different length refrigerate yum
Aviva Garrett,"The flavor is very good! I cut the sugar by 10%, and the cookies are still too sweet (with semisweet chips). I will try more chips next time and chips of a darker chocolate.",pos,flavor good cut sugar cookie sweet semisweet chip try chip time chip dark chocolate
Laura K,"For healthy twist, these came out amazing! Substituted coconut oil for the butter, and buckwheat flour for half of the flour, used 3/4 cup tahini basically 1.5x what it called for. Did not refrigerate, the dough is sticky but easily able to use a medium melon scooper. Baked at 350 for 12 minutes on silicon mat (which prevents crisping) they came out soft, chewy, and everyone was raving about them! They did not brown, if you wait for that, they'd be crispy, I wanted them chewy. Great recipe!",pos,healthy twist come amazing substituted coconut oil butter buckwheat flour half flour cup tahini basically x call refrigerate dough sticky easily able use medium melon scooper bake minute silicon mat prevent crisp come soft chewy rave brown wait crispy want chewy great recipe
Lois,Please note that refrigerating the dough is a must. If you make these with warm dough they will come out the consistency of bricks. Otherwise they're delicious,pos,note refrigerate dough warm dough come consistency brick delicious
tme portland,"Baked these again April 2, 2018. Used ¾ cup Tahini, same amount of butter, and two whole eggs. Baked in convection oven for 13 minutes.
One half recipe cooked immediately, other half overnight in refrigerator. So far no difference. 

This morning's bath out of the oven for an hour.
Last night's batch is now pleasantly firm, not crunchy, sort of chewy still.",neu,bake april cup tahini butter egg bake convection oven minute half recipe cook immediately half overnight refrigerator far difference morning bath oven hour night batch pleasantly firm crunchy sort chewy
IJ Wittenberg,I think the tahini was more influential in the texture than the flavor. Plus I think the total baking time was closer to 20 minutes. Absolutely love these.,pos,think tahini influential texture flavor plus think total baking time close minute absolutely love
Amy,"I followed the directions exactly and my whole family loved them. I hid half a dozen so we could share with my mom and MIL when they’re over for dinner tomorrow. I suspect this is one that they’ll both want the recipe for.  I mostly just use tahini to make hummus, so it’s great to have another use for it.",pos,follow direction exactly family love hide half dozen share mom mil dinner tomorrow suspect ll want recipe use tahini hummus s great use
Alice Kaiser,"My son requested that I send these for his birthday!  Redolent of sesame seeds, such a sweet nutty/seedy scent. Use the best dark chocolate chips--Guittard extra dark very good.  You'll never go back to 'chocolate chip' cookies.",pos,son request send birthday redolent sesame seed sweet nutty seedy scent use good dark chocolate chip guittard extra dark good ' chocolate chip ' cookie
John G.,"I'm a cooking novice, so I followed the recipe exactly, using dark chocolate chips. My wife, who's an amazing baker, thought they were a success, so I felt good about that.  Did anybody else notice that the sesame flavor was more pronounced when the cookie is dunked in milk, or is that just me?",pos,cooking novice follow recipe exactly dark chocolate chip wife amazing baker think success feel good anybody notice sesame flavor pronounced cookie dunk milk
Birgit,"I am not good at delayed gratification and put the cookies into the oven as soon as I made the dough. They turned out spectacular. I used half caster, half brown sugar and half whole, half white spelt. I cut 72% chocolate into chunks and sprinkled flaky sea salt and black sesame seeds over the unbaked cookies just before they went into the oven. They do spread out tremendously and turn into a delicately crisp cookie with a little chew in the middle. I will make these again. Soon!",pos,good delay gratification cookie oven soon dough turn spectacular half caster half brown sugar half half white spelt cut chocolate chunk sprinkle flaky sea salt black sesame seed unbaked cookie go oven spread tremendously turn delicately crisp cookie little chew middle soon
CH,"I skipped refrigerating the dough, used a teaspoon to make walnut sized balls, baked as directed, resulting in about 3 dozen delicious, crispy cookies. My family can't get enough of these yummy cookies.",pos,skip refrigerate dough teaspoon walnut sized ball bake direct result dozen delicious crispy cookie family yummy cookie
Jana,"The Maledon salt makes this swoon-worthy.  To be fair, it has that effect wherever used judiciously.  But to take a chocolate chip cookie to that level is delicious.  The tahini is part of it, too.  Great cookie!",pos,maledon salt make swoon worthy fair effect judiciously chocolate chip cookie level delicious tahini great cookie
Sharanya,Unfortunately I couldn't really taste the tahini but they were still delicious!,pos,unfortunately taste tahini delicious
Dave Schabes,Does anyone have any experience freezing a portion of the cookie dough for future use? I got 2 dozen cookies out of this recipe the first time I made it and that's a lot.,neu,experience freeze portion cookie dough future use get dozen cookie recipe time lot
zaxweiser,"Used 1/2 cup white sugar, 1/2 cup brown sugar. Put in freezer for about an hour before baking.
Delicious. Husband declared them my best choc. chip cookies ever!!! I think he's right. Perfect texture, extravagantly delicious amount of chocolate (used TJ's choc. chunks) and the tahini plays very nicely with the chocolate. Definitely will make again",pos,cup white sugar cup brown sugar freezer hour bake delicious husband declare good choc chip cookie think right perfect texture extravagantly delicious chocolate tj choc chunk tahini play nicely chocolate definitely
jenkawar,"This is a very standard chocolate chip cookie recipe with 1/2 cup of tahini added. Why fix what's not broken? Yes, the tahini adds an undertone of flavor, but the money ingredients (for those of us who like the sweet-salty combo) are chocolate chips & the flaky Maldon salt on top. If tahini taste is the focus, I much prefer Melissa Clark's Tahini Shortbread Cookie recipe.",neg,standard chocolate chip cookie recipe cup tahini add fix break yes tahini add undertone flavor money ingredient like sweet salty combo chocolate chip flaky maldon salt tahini taste focus prefer melissa clark tahini shortbread cookie recipe
Jackie Kim,"This is a fantastic recipe and has become the go to when we want to make a cookie treat. My family prefers this to the standard chocolate chip recipe. I used sprouted whole wheat flour and it came out just as delicious - tender in the middle, crunchy on the edges. It is not too sweet. I used 72% cacao chocolate though - I used a knife and chopped the block into smaller pieces (3 more minutes worth of work). I used only 180 g of chocolate today as I didn't have enough. Still great.",pos,fantastic recipe want cookie treat family prefer standard chocolate chip recipe sprout wheat flour come delicious tender middle crunchy edge sweet cacao chocolate knife chop block small piece minute worth work g chocolate today great
#NAME?,"Reduce Sugar to 160–170g
Increase tahini to 130g
Bang pans after 8-12 mins",neu,reduce sugar g increase tahini g bang pan min
janell,"This was amazing! I used less 1/4 c sugar (3/4 c instead) and it was just the right amout of sweet, salty, and nutty. Will definitely make again.",pos,amazing c sugar c instead right amout sweet salty nutty definitely
Megan McElroy,"These were delicious, but keep in mind that since there is no brown sugar, they do not darken like most chocolate chip cookies. I overcooked mine because I kept checking for brown edges like the photo above, but that never happened for me anyway. I enjoyed my light-colored, light-textured cookie crisps anyway.",pos,delicious mind brown sugar darken like chocolate chip cookie overcook keep check brown edge like photo happen enjoy light colored light textured cookie crisp
nutsnbolts,"Advice please:  Can these be frozen for a couple of weeks in an airtight container?  I want to include these delicious treats in my holiday cookie bags I give to friends.  However, I must be able to freeze batches of cookies for up to 2 weeks because I simply can't make and deliver all the treats in a couple of days.",neu,advice freeze couple week airtight container want include delicious treat holiday cookie bag friend able freeze batch cookie week simply deliver treat couple day
Ginny,I made these with Kevala Black Tahini and they were delicious! The result is a slightly gray/black-colored cookie and the black sesame flavor really comes through.,pos,kevala black tahini delicious result slightly gray black colored cookie black sesame flavor come
Butter,"I made these and followed the suggestion of a baker to increase the tahini to 3/4 cup, etc. Ended up with a cakey cookie; probably should have cooked them a minute more. Not a winner in my book. The best part of the recipe is the alluring title.",neg,follow suggestion baker increase tahini cup etc end cakey cookie probably cook minute winner book good recipe alluring title
A,"I made them twice, the second time adding toasted walnuts that I
put in the oven with a bit of butter and salt. Found they added texture and flavor.",neu,twice second time add toasted walnut oven bit butter salt find add texture flavor
June,"This recipe was burning a hole in my pocket for months! Finally got to it this weekend, and it most certainly did not disappoint! Makes quite a few rather large cookies. Next time I will make them a little smaller. But these things are seriously scrumptious!",pos,recipe burn hole pocket month finally get weekend certainly disappoint make large cookie time little small thing seriously scrumptious
Amelia,"Any recommendations for doubling or tripling the recipe?  Or, would you recommend doing each batch separately?",neu,recommendation double triple recipe recommend batch separately
"12 hours? Yeah, right","I'm not sure who has the patience or willpower to wait 12 hours to bake the cookies they just put together, but certainly not me. I put these on th  cookie sheets and into the frezer for 10 or 15 monutes before baking them -- they turned out wondeful. Crispy around the edges, but chewy in the middle. ",pos,sure patience willpower wait hour bake cookie certainly th cookie sheet frezer monute bake turn wondeful crispy edge chewy middle
Chris B,"I tried these for the 5th or 6th time w 1/2 margarine and 1/2 butter, and always w pink salt. Cooked for approx. 15 mins. until  crispy and medium brown.  Game on Good!",pos,try th th time w margarine butter w pink salt cook approx min crispy medium brown game good
Scott M.,"These are great as bar cookies (what we call blondies in our home). After mixing in the chips, I greased a 9""x13"" pan with butter and spread the batter in. I refrigerated the whole pan for 1 hour and then baked it at 325 degrees until the top was golden brown (30-35 minutes). The texture was about the same as a blondie, but the tahini made them taste even better. BTW, I used premium tahini (Soom). Probably not the same with the bitter stuff that separates into oil and concrete.",pos,great bar cookie blondie home mix chip grease x pan butter spread batter refrigerate pan hour bake degree golden brown minute texture blondie tahini taste well btw premium tahini soom probably bitter stuff separate oil concrete
Donna Goldin,"I used a mini scoop and made 60 cookies. I flattened them and sprinkled with Fleur de Sel prior to baking. I followed someone's recommendation for baking for 15 minutes at 350. I don't have a convection oven, but have ""speed bake"" which is similar and they came out great.",pos,mini scoop cookie flatten sprinkle fleur de sel prior baking follow recommendation baking minute convection oven speed bake similar come great
Feli,These are heavily addictive and hard to share. I love the texture and slightly salty taste. ,pos,heavily addictive hard share love texture slightly salty taste
Ilene K,"I have made this recipe several times and like it very much.  I have a different experience with the dough: it is very stiff, and it is difficult to incorporate the chocolate chips.  They are still delicious, but don't spread as noted in the recipe.  I weigh the ingredients, use large eggs for the egg and yolk, and Whole Foods brand 365 tahini.  Could the tahini be the variable?",pos,recipe time like different experience dough stiff difficult incorporate chocolate chip delicious spread note recipe weigh ingredient use large egg egg yolk food brand tahini tahini variable
Roseanne,"These are very good. The tahini taste is far too subtle, the suggested cookie size far too large for my taste. Cooked at 325 but in a smaller size yielded a crisper cookie for me. Moderate amount of sweetness which I like. Should be wonderful with good ice cream. I abandoned the Toll House bag recipe years ago when I discovered Silver Palate's recipe which I also bake at a standard rather than a giant size. I'm amping up the tahini here if I try this again.",pos,good tahini taste far subtle suggest cookie size far large taste cook small size yield crisp cookie moderate sweetness like wonderful good ice cream abandon toll house bag recipe year ago discover silver palate recipe bake standard giant size ampe tahini try
curtis,The addition of a 1/4 c. finely chopped pecans didn't hurt this fine recipe. Could only wait 4 hours of chilling time before baking these things off and topping with kosher salt. The tahini gives a complexity to this recipe (not unlike the one on the back of the yellow package). I think next time I'll try some brown or Demerara sugar instead of the granulated white.,pos,addition c finely chop pecan hurt fine recipe wait hour chilling time bake thing top kosher salt tahini give complexity recipe unlike yellow package think time try brown demerara sugar instead granulated white
Vijaya,"For 23 g sugar per serving these really should have more fiber than 1 g.  It can be remedied by adding a tablespoon or two of ground flaxseed.  To up the protein, swap 2T of the wheat flour out for whole wheat or better yet, chickpea flour.",neu,g sugar serve fiber g remedie add tablespoon ground flaxseed protein swap t wheat flour wheat well chickpea flour
KLD,"I've tried very hard to think of some reason why an American recipe would call for 4 ounces or 113 grams of butter rather than a stick. I've racked my brains. I've racked my brains. I can't think of a single reason. But I must say, I enjoy thinking about some poor soul with a razor blade shaving down a stick of butter until it weighs 113 grams. Not 111 or 115 mind you, but EXACTLY 113. I've certainly seen an extra gram of butter ruin many recipes entirely!",neu,try hard think reason american recipe ounce gram butter stick rack brain rack brain think single reason enjoy think poor soul razor blade shave stick butter weigh gram mind exactly certainly see extra gram butter ruin recipe entirely
Susan,Wondering if these could be made with Cup 4 Cup gluten free flour.,neu,wonder cup cup gluten free flour
Suzie,Can anyone suggest how can i make these not as flat ?? add more flour? mm...thanks,neu,suggest flat add flour mm thank
Lynette,My calorie calculator says 700 plus kcals per cookie! Anyone else have a count on this recipe?,neu,calorie calculator say plus kcal cookie count recipe
Ari,"I made these smaller and got about 24 cookies. They baked for the same time listed in the recipe, but I still kept them soft as suggested. How would the big ones not be underbaked? I only chilled the dough for   5-6 hours, and it was fine. They were very good, but the tahini isn't a super strong flavor. They tasted like regular chocolate chip cookies with a hint of nuttiness.",neu,small get cookie bake time list recipe keep soft suggest big one underbaked chill dough hour fine good tahini super strong flavor taste like regular chocolate chip cookie hint nuttiness
Dylan,"These are the best cookies I have ever made. I couldn't stop eating them. I used Hummingbird Tahini. Mixed by hand, didn't separate eggs, nor chill overnight, but they were fantastic. I had a block of chocolate chips that melted together in my car, which I smashed, and the fine dust created in that process gave them a sort of chocolate swirl quality which I would actually highly recommend if you too have a solid block of chocolate (old easter bunny?) you are trying to get rid of.",pos,good cookie stop eat hummingbird tahini mix hand separate egg chill overnight fantastic block chocolate chip melt car smash fine dust create process give sort chocolate swirl quality actually highly recommend solid block chocolate old easter bunny try rid
NCSong,"I love this cookie!  However, I tried to double the recipe and that did not work very well. The tahini was not incorporated well enough and I won't do that again. I've made these cookies at least four times, single batch of course, I've never refrigerated them and they are still delicious.",pos,love cookie try double recipe work tahini incorporate wo cookie time single batch course refrigerate delicious
Jackie,The cookie part itself was great.  I used Whole Foods Organic Tahini.  Unfortunately it was very difficult to taste the cookie part b/c I used Whole Foods 67% bittersweet chunks.  They very much overwhelmed the cookie.  If I made it again I would make it with 2/3 cup choc chunks  & just semi-sweet.,pos,cookie great food organic tahini unfortunately difficult taste cookie b c food bittersweet chunk overwhelm cookie cup choc chunk semi sweet
Cocoaaddict,This is a great recipe! The tahini flavor comes through but it's not overwhelming. I used 140g of sugar (half brown half regular) instead of 200 grams called for in the recipe. But the cookies still turned out way too sweet! Next time I will try using 100 grams of sugar.  I didn't have 12 hours to refrigerate the dough. I popped them in the freezer for 20 minutes. I think it turned out fine.,pos,great recipe tahini flavor come overwhelming g sugar half brown half regular instead gram call recipe cookie turn way sweet time try gram sugar hour refrigerate dough pop freezer minute think turn fine
Leah Anne,"Great!  I love the flavor.  I used half white sugar and half brown.  My only quibble is that the resulting cookies are a little too flat for my preference, but I should be able to tinker a bit and fix that.",pos,great love flavor half white sugar half brown quibble result cookie little flat preference able tinker bit fix
Amber,"I only refrigerated the dough for three hours, and the cookies were fine. Delicious recipe!",pos,refrigerate dough hour cookie fine delicious recipe
Tiffany,Can be made VEGAN.  I can't eat any dairy so I tried these with vegan butter and dark chocolate chips and everyone thought they were great.,pos,vegan eat dairy try vegan butter dark chocolate chip think great
Reeze,"Oh no, these are too good! I can see me eating many of these with a nice cup of tea! I didn't salt all of them as my children wanted some without. Interestingly, I preferred theirs - and I love salt! So, I recommend salting half of the cookies the first time you bake them, just to see what you prefer :)",pos,oh good eat nice cup tea salt child want interestingly prefer theirs love salt recommend salt half cookie time bake prefer
NCSong,These are the best cookies I ever made. I am constantly asked when am I going to make the tahini chocolate chip cookies again.   I only wish I was thin enough to eat them every day.,pos,good cookie constantly ask go tahini chocolate chip cookie wish thin eat day
Nancy Steinhouse Rosenthal,"This is our favorite cookie recipe, requires chilling the dough.  But the outcome, almost not to be believed.  Sea salt flakes on top - a must!  My 13 year old just asked when we can make them next.",pos,favorite cookie recipe require chill dough outcome believe sea salt flake year old ask
Earls,"Best cookies I've ever made. They get even better with time, so let them cool completely before trying them!",pos,good cookie well time let cool completely try
Jt,"You may or may not find this helpful.  But here goes.  I made these as directed except using half white / half brown sugar.  I baked three batches in different intervals. Here are my results:  Batch 1: dough in the fridge 9 hours Cookies baked hard as rocks. Not very tasty  Batch 2: dough put back in freezer, 1 week Cookies much i proved but a little bitter aftertaste.   Batch 3: dough put back in freezer 1 more wee. (Total time 2 weeks,9 hous) Cookies baked 9 minutes.  Amazingly delicious!",pos,find helpful go direct half white half brown sugar bake batch different interval result batch dough fridge hour cookie bake hard rock tasty batch dough freezer week cookie prove little bitter aftertaste batch dough freezer wee total time week hous cookie bake minute amazingly delicious
Nicky M.,"I didn't want them too crisp, so I pulled them out at 13 minutes. That made them too soft and delicate, as others have pointed out. So I stuck them in the fridge, and after chilling, they are the texture I wanted. I followed the suggestion to use 3/4 cup tahini and 2 whole eggs.",neu,want crisp pull minute soft delicate point stick fridge chill texture want follow suggestion use cup tahini egg
Anna,"These are great. I used Once Again raw organic tahini, plus swapped sugar for half coconut sugar/half maple sugar and used gluten-free flour with a pinch of xantham gum. I skipped the 1 1/2 eggs and just used two whole eggs. They turned out perfectly! The only change I'll make next time is to make smaller cookies. Has anyone tried these as oatmeal raisin cookies?",pos,great raw organic tahini plus swap sugar half coconut sugar half maple sugar gluten free flour pinch xantham gum skip egg egg turn perfectly change time small cookie try oatmeal raisin cookie
Rachael Byrne de Calvillo,Any ideas on what to substitute the butter for?,neu,idea substitute butter
Kate,"Honestly, I just made this to eat the dough.  And then I ate too much of it because it's insanely tasty.  I baked up the remainder for my coworkers, and I couldn't taste the tahini in the finished product.  But they were still wonderful cookies.",pos,honestly eat dough eat insanely tasty bake remainder coworker taste tahini finished product wonderful cookie
Judy,"Last Passover, I used a combination of matzoh cake meal and potato starch, and they were fine.  This year, I used a combination of almond flour and quinoa flour (more almond than quinoa, probably 75-25), and the cookies were outstanding.  No one could believe that they were kosher for Passover.  I used some Hadar chocolate chips, some from another brand (can't remember, but the Hadar were better) and I also broke up an Elite chocolate bar and used that.  They were the hit of the week.",pos,passover combination matzoh cake meal potato starch fine year combination almond flour quinoa flour almond quinoa probably cookie outstanding believe kosher passover hadar chocolate chip brand remember hadar well break elite chocolate bar hit week
Susanne,I substituted gluten free all purpose flour (Bob's Red Mill brand) and so I added 1/4 teaspoon xanthan gum to the dry ingredients. I only chilled the dough for about an hour (in a metal bowl though) and perhaps made my cookies a bit smaller (the recipe made 24 cookies). They took around 20 minutes to bake (with a turning of the cookie sheet half way through) and they came out GREAT. I've been nervous to try the direct substitution with GF flour but this definitely inspired me.,pos,substitute gluten free purpose flour bob red mill brand add teaspoon xanthan gum dry ingredient chill dough hour metal bowl cookie bit small recipe cookie take minute bake turning cookie sheet half way come great nervous try direct substitution gf flour definitely inspire
theo,"I added an extra half cup of flour because mine seemed, dare i say, too buttery. Skipped the rest in the fridge and they turned out great!",pos,add extra half cup flour dare buttery skip rest fridge turn great
Shaila M,"Second time w/the following tweaks. Turned out much better: + Upped tahini to 3/4 cup (same browned butter) + Used 2 whole eggs + Used whole bag of Ghirardelli dark chocolate chips (srsly, NY Times, why skimp on chocolate in these dire days?) + Used small cookie scoop and got 3 dozen out of batch + Pressed dough scoops flat and sprinkled unbaked tops with mix of black sesame seeds and fleur de sel + Baked at 350 convection for 15 mins  Not quite chewy but crisp and rich - more of a halva flavor",pos,second time w follow tweak turn well up tahini cup browned butter egg bag ghirardelli dark chocolate chip srsly ny time skimp chocolate dire day small cookie scoop get dozen batch press dough scoop flat sprinkle unbaked top mix black sesame seed fleur de sel bake convection min chewy crisp rich halva flavor
Dee,"These are fantastic. Happy to have my eyes opened about sweet uses of sesame, as I'm a big fan of sesame in savory dishes. These definitely need the final sprinkle of salt to offset the sweetness. In fact, I'm going to try making them with a little less sugar next time to see whether that reduces the sweetness without affecting the texture.",pos,fantastic happy eye open sweet use sesame big fan sesame savory dish definitely need final sprinkle salt offset sweetness fact go try make little sugar time reduce sweetness affect texture
Erin,"Hmm. Underwhelmed. I used brown sugar, and half as much as called for (per suggested in notes). Texture was cakey, rather than chewy. Maybe next time I'll use the correct amount of sugar, and I try brown butter per another suggestion. My hands down favorite choc chip cookie is the cooks illustrated version with browned butter, so I am thinking that brown butter + tahini would be divine.",neg,hmm underwhelme brown sugar half call suggest note texture cakey chewy maybe time use correct sugar try brown butter suggestion hand favorite choc chip cookie cook illustrate version browned butter think brown butter tahini divine
Randeekd,Amazing!  My husband said AWESOME!  As suggested by some I doubled the recipe. Used dark brown sugar. Added a cup of oatmeal. Use Himalayan salt. As pretty as they are delish. A definite keeper. ,pos,amazing husband say awesome suggest double recipe dark brown sugar add cup oatmeal use himalayan salt pretty delish definite keeper
DJR,"These might be the best cookies I've ever made.  They manage to be - all at once - just the right degree of salty, bittersweet, just plain sweet, crunchy and chewy.    I made two versions - one with a 2"" scoop and one with a 1"" scoop. Both came out perfectly.  Both needed something like 20 minutes to make the edges light brown while the middles stayed paler.  Keep an eye on them as they bake.  They're so good that one is completely satisfying. This recipe is one for the ages.",pos,good cookie manage right degree salty bittersweet plain sweet crunchy chewy version scoop scoop come perfectly need like minute edge light brown middle stay pale eye bake good completely satisfy recipe age
Shaila M,I made them with browned instead of softened butter and swapped out 1/2 the granulated for dark brown sugar. MUCH better and gives that caramelized taste so many of you said was missing. The browned butter/tahini/brown sugar nuttiness is the most amazing smell.,pos,brown instead soften butter swap granulated dark brown sugar well give caramelize taste say miss browned butter tahini brown sugar nuttiness amazing smell
Annie56,Used Himalayan salt I had on hand and it worked beautifully.  Used 1/3 bittersweet and 2/3's semisweet dark chocolate.  Phenomenal cookie.  The sesame butter taste of the tahini gives just the right amount of nutty essence that makes this so much better than a typical chocolate chip cookie.,pos,himalayan salt hand work beautifully bittersweet semisweet dark chocolate phenomenal cookie sesame butter taste tahini give right nutty essence make well typical chocolate chip cookie
Kev,"These cookies are Amazing. The dough tastes like Halvah. I was advised to use Lebanese tahini (versus Egyptian) with the claim that it is not bitter. (I don't know if that's true). But after stirring it, it was pourable and very easy to work with. The grocer advised me not to refrigerate it. These are my new favorite cookies.",pos,cookie amazing dough taste like halvah advise use lebanese tahini versus egyptian claim bitter know true stir pourable easy work grocer advise refrigerate new favorite cookie
Ghentry,Mmmmmmm warm with vanilla ice cream. ,pos,mmmmmmm warm vanilla ice cream
Joy,My new favorite!,pos,
Deborah,"Fantastic! Used El Rey Gran Saman discs, halved. Tested 3 times--using different #s of cookies and baking times. Best batch: 15 cookies, 16 minutes. On removal from oven, they're VERY fragile, so I slid parchment onto racks with cookies still on them. Removed from parchment after approx.  15 min. when they had firmed up a bit. Parchment traps moisture, so remove as soon as feasible to allow bottoms to crisp up. Make sure each one gets a hit of salt.",pos,fantastic el rey gran saman disc halve test time different s cookie baking time good batch cookie minute removal oven fragile slide parchment rack cookie remove parchment approx min firm bit parchment trap moisture remove soon feasible allow bottom crisp sure get hit salt
Peter C.,"Not very impressed.  I followed this recipe to the letter, and experimented with a lot of variables (how long I refrigerated the dough, the thickness of the dough going into the oven, etc.) and my results were all disappointing. While the subtle tahini flavor is nice, the cookies are light, crumbly, and lack the chew and deep caramel flavor of the classic tollhouse recipe. A fun experiment, but the novelty of the tahini flavor is not worth what you sacrifice in fuss and texture.",neg,impressed follow recipe letter experiment lot variable long refrigerate dough thickness dough go oven etc result disappointing subtle tahini flavor nice cookie light crumbly lack chew deep caramel flavor classic tollhouse recipe fun experiment novelty tahini flavor worth sacrifice fuss texture
Julianna,"I made the dough for this yesterday and it has been sitting in the fridge for 24+ hours. Rather than bake the cookies today, I'd like to make them for a get together this upcoming Thursday. Will the dough keep with refrigeration, or do I need to freeze it? Or should I go ahead and just bake the cookies today if neither of those options work?",neu,dough yesterday sit fridge hour bake cookie today like upcoming thursday dough refrigeration need freeze ahead bake cookie today option work
"Margaux Laskey, Staff Editor","Absolutely delicious. My husband was dubious (I normally only make the Times' David Leite recipe), but these were so good, and the tahini adds a delightful nuttiness. I used a combo of semisweet, bittersweet and milk chocolate because I was trying to use up several half bags of leftover chocolate chips. It worked!",pos,absolutely delicious husband dubious normally time ' david leite recipe good tahini add delightful nuttiness combo semisweet bittersweet milk chocolate try use half bag leftover chocolate chip work
judyg,This recipe is delicious.  My friends and family loved these cookies.,pos,recipe delicious friend family love cookie
Marie Vila,"ok yeah, these are pretty good. How many times have I made them now? Lost count. Do refrigerate the dough. Do not press down the cookies before baking or they will come out super thin.",pos,ok yeah pretty good time lose count refrigerate dough press cookie bake come super thin
